row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_cents,result_position,service_page_viewed
17701,342310034947964000,2018-11-05 22:07:15.844 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-11-05 18:21:06.221 UTC,14200,17,FALSE
23091,342425664766615000,2018-11-07 06:14:25.439 UTC,House Cleaning,334938038400294000,21,4.285714286,2018-11-05 22:51:10.786 UTC,11400,3,FALSE
2771,341262873236086000,2018-10-24 19:14:33.937 UTC,House Cleaning,96585837045031900,21,4.714285714,2018-10-20 15:56:16.636 UTC,8600,5,FALSE
4368,341073347922067000,2018-10-22 14:35:48.622 UTC,House Cleaning,96585837045031900,21,4.714285714,2018-10-20 15:56:16.636 UTC,14200,2,FALSE
11364,340460977452892000,2018-10-15 12:29:38.323 UTC,House Cleaning,96585837045031900,21,4.714285714,2018-10-11 15:22:41.395 UTC,9000,2,FALSE
1384,343926882056151000,2018-11-24 15:14:42.722 UTC,House Cleaning,232739520412886000,21,4.380952381,2018-11-22 14:56:35.303 UTC,12500,2,FALSE
5521,340498405769707000,2018-10-15 22:53:26.501 UTC,House Cleaning,275282223201559000,21,4.761904762,2018-10-15 03:18:28.191 UTC,11000,11,FALSE
8611,340515217303126000,2018-10-16 03:33:38.077 UTC,House Cleaning,275282223201559000,21,4.761904762,2018-10-16 01:35:38.619 UTC,12800,12,FALSE
14976,343848446950219000,2018-11-23 17:27:27.29 UTC,Local Moving (under 50 miles),307850548009812000,21,4.666666667,2018-11-15 19:57:37.696 UTC,10000,1,TRUE
7826,339305194485670000,2018-10-02 03:26:35.249 UTC,House Cleaning,304897616556515000,21,4.952380952,2018-10-01 15:20:00.728 UTC,7000,1,FALSE
2697,342478261710487000,2018-11-07 20:51:02.475 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-07 20:50:44.48 UTC,15600,4,FALSE
4515,341896809869926000,2018-11-01 03:20:10.577 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-31 18:27:14.34 UTC,11000,5,FALSE
5266,339461631630770000,2018-10-03 22:53:52.354 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-02 15:36:08.299 UTC,11000,6,FALSE
5608,343003591641522000,2018-11-13 22:46:32.376 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-13 17:13:07.628 UTC,10000,4,FALSE
9103,340052861229351000,2018-10-10 19:07:41.839 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-09 18:39:44.715 UTC,19500,6,FALSE
10362,340055769281929000,2018-10-10 19:56:09.856 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-09 18:39:44.715 UTC,18500,5,FALSE
13230,342295299396059000,2018-11-05 18:01:40.143 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-05 02:59:46.61 UTC,10000,6,FALSE
15036,339461412634812000,2018-10-03 22:50:13.41 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-02 15:36:08.299 UTC,11000,7,FALSE
16080,342216902318809000,2018-11-04 20:15:03.115 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-02 21:34:17.58 UTC,11000,4,FALSE
17055,342142848021135000,2018-11-03 23:40:49.529 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-02 21:34:17.58 UTC,23500,6,FALSE
17189,342311096237195000,2018-11-05 22:24:57.073 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-05 02:59:46.61 UTC,10000,7,FALSE
18453,342162860473458000,2018-11-04 05:14:21.233 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-11-02 21:34:17.58 UTC,11000,7,FALSE
18684,339647999780405000,2018-10-06 02:40:00.479 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-05 18:24:41.839 UTC,14000,5,FALSE
23188,339720364912033000,2018-10-06 22:46:05.612 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-06 22:07:23.366 UTC,11000,3,FALSE
24128,339887997174694000,2018-10-08 21:19:58.084 UTC,House Cleaning,308537152738304000,21,4.285714286,2018-10-08 19:12:55.385 UTC,18500,6,FALSE
22383,342918672170139000,2018-11-12 23:11:12.824 UTC,House Cleaning,320102974536179000,21,5,2018-11-11 03:18:19.091 UTC,12500,3,FALSE
